movie_id,title,plot,language,genre
2052070,Lamog,"Years ago, Eddie (Ace Castro) left his provincial home and tried to find a better life in Manila. Now, he has just received the news of his mother's death, two months after she actually passed. Distraught, he returns home with his girlfriend in tow, hoping to find some answers. When he gets to his house, he's surprised to find that his first love is now living with his younger brother, and that his stepfather has taken charge of the household. As he stays in the house, old passions begin to reignite, even as he becomes witness to his stepfather's dark secrets.",Filipino,Drama
2107048,Mathamma,"Through the journey of Meena's life, a low-caste woman in a South Indian village, comes the tale of a childhood tragedy, a mother's love, and a frightening tradition that may once again imprison the mind and body of her own daughter, who as one of many girls, seems to have no escape from a vicious and abusive cycle. Living under the clutches of a male dominated, caste oriented society, the low caste women and female children succumb to humiliation, degradation and ultimately lose their life to the deadly AIDS.",Telugu,Drama
1914201,Gente decente,"In Santiago, Andrés Barros is a partner at an up-and-coming law firm. He's getting married, and his friends, including his law partner Roberto, arrange a bachelor party where he spends the night with a prostitute, Gloria. She later shows up at his office and the passion continues, against his better judgment. Soon, Andrés is entangled in sex, lies, videotape, and blackmail. His relationship with Rosario, his fiancée, is strained, he neglects his work, and there's a dead body in a bathtub. A pimp, a whore, a doorman, a receptionist: where are the decent people?",Spanish,Drama
2394250,The Miracle of Stereophonic Sound,"This CinemaScope short explains all the wonders of full, four-track high fidelity magnetic stereophonic sound. The system is compared to regular optical sound, and then is demostrated in a performance of Tchaikovsky's \Waltz of the Flowers.\"" Alfred Newman leads the Twentieth Century-Fox (note the correct \""hyphen\"" between Century and Fox)Symphony Orchestra.""",English,Documentary
1823248,Desperate Moves,"A naive young man from a small Oregon town travels to the big city--in this case San Francisco--to pursue his dream. He has to learn how to cope with the culture shock encountered in the move from small, rural Oregon to big--and bizarre--urban California.",English,Comedy
1935914,Handle With Care,"As a rough guide to caring for a newborn baby, 'Handle With Care' combines factual information with the imagination and personal experiences of director and first-time father, Jun Iwakawa. The resulting visual interpretation plays out in the form of a humorous, often warped, info-graphic. Split across nine categories: Bonding, Sleeping, Feeding, Poo/Wee, Bathing, Clothing, Playing, Transporting, and First Aid, this is a whistle stop tour of practical data and tips which leaves the viewer to decide what is fact and what is most certainly not.",English,Animation
1741235,Border Incident,"To penetrate a gang exploiting illegal Mexican farmworkers smuggled into California (and leaving no live witnesses), Mexican federal agent Pablo Rodriguez poses as an ignorant bracero, while his American counterpart Jack Bearnes works from outside. Soon, both are in deadly danger from the ringleader, sinister rancher Owen Parkson, and find night on the farm to be full of shadowy film-noir menace...",English,Crime
2288050,Silk Hat Kid,"Eddie Howard, a fast-thinking, two-fisted bodyguard, is hired by nightclub-owner Tim Martin to protect him from chiseling gangsters operating an extortion-racket. But Eddie meets and falls in love with Laura Grant, Tim's sweetheart, and complications quickly arise.",English,Action
1843136,Dove volano i corvi d'argento,"Mentre si trova a pascolare il gregge, Giacinto Fronteddu assiste casualmente al sequestro di una persona e viene ucciso da uno dei sicari che lo ha visto e teme la denuncia del giovane. Ai funerali del giovane partecipa anche il fratello Istevene, che lavora a Milano come metalmeccanico. Tornato al villaggio sardo, il giovane è pressato dalla famiglia, dai vecchi amici e dalla ex fidanzata Giovannangela a compiere la vendetta ed uccidere gli assassini del fratello, secondo le tradizioni della loro terra. Anche il fratello della ragazza, Maineddu, che traffica con la mafia sassarese, insiste ed arriva a catturare ed a consegnare allo sbigottito Istevene l'assassino del fratello. Questi, però, ormai lontano da quelle brutali consuetudini, è deciso a rompere con la sanguinosa tradizione e consegna il prigioniero alle forze dell'ordine. Un giorno, lo stesso Maineddu viene ucciso ed allora Giovannangela ed altri del paese comprendono le decisioni di Istevene e si trovano in accordo con lui nel voler interrompere la spirale della violenza.",Italian,Crime
2395697,The Mummy's Tomb,A high priest travels to America with the living mummy Kharis (Lon Chaney Jr.) to kill all those who had desecrated the tomb of the Egyptian princess Ananka thirty years earlier.,English,Action
2269446,Seaside Stories,"Locky McNamara is 11 and has been flourishing since his mother, Anna, gave up the drink three years ago. When Anna's old boyfriend Mick gets out of prison on good behavior, she falls back into her old ways of daytime drinking while Locky runs wild in the streets with his mate Callo. Meanwhile, Anna's daughter, Sally, arrives home determined to tell Locky that she is really his mother, a move which sets the scene for a scabrous and vengeful series of events which have massive ramifications for all involved.",English,Drama
1786877,Conquest of the Planet of the Apes,Cornelius and Zira's son Caesar leads apes to revolution in this installment of the apes saga. Dogs and cats have been wiped out by a plague and now apes are household pets that are treated like slaves. Caesar has the intelligence to fight this oppression.,English,Action
2085977,Love After Death,"During a cataleptic fit, Montel is buried alive, a burial plotted by his greedy wife Sofia with several men, including her lover, Montel's doctor. Exiting his grave, Montel goes on a sexual rampage. When the conspirators engage in gun play at an abandoned castle, Montel arrives to stab the doctor and strangle Sofia, followed by the revelation that he is actually dead.",Spanish,Horror
1762909,Cat in the Cage,"A young man returns to his rich family's estate after a stay in a mental hospital. He finds that his father has married his deceased wife's nurse, who is secretly plotting with her lover, the chauffeur, to murder the father and take his fortune.",English,Thriller
1928589,Greyhound,"Set in an underprivileged suburb of east Manchester, the film chronicles the plight of its young protagonist Danny. We follow him on the day of his sixteenth birthday, and witness this young man on the cusp of manhood, seemingly unprepared and without direction or ambition. Through the day we see a contrast in his moral fibre, which perpetuates his confusion and disassociation with society and his own existence. The lost and confused young man finds hope in a letter he receives from his estranged father. This leads to a chain of events, which force him to make decisions on his own accord, breaking free from the constraints on his uncaring family and taking his life into his own hands.",English,Drama
2232272,Rao yi sheng,"Dr. Rao died on 29Th of September 2010.The funeral ceremony in Sichuan, Southwest China, lasted two days and two nights and was recorded in a rather unconventional way: 5.957 single photo shots, combined to a 7 minutes short film. It shows the funeral of an ordinary Chinese man, surrounded by his family. One witnesses the enshrined body, the cremation of the deceased and the immediate handing over afterwords of his remains to the family members. The film provides a very intimate perspective on contemporary Chinese culture, where Taoist burial rites are blended with modern secular customs. The process brings to mind a theater performance with stage, acting and scenery, embodying the transition from the living to the death.",Chinese,Animation
1668978,Age of Champions,"Athletes prepare for the 2009 National Senior Games: a 100-year old tennis player from Cape Cod, brothers from Washington, D.C., in their 80s who swim, a Texas widower who finds solace in training, and his rival, an 86-year-old champion in field events intent on the world's record in the pole vault for persons over 80. A women's basketball team from Louisiana is hair-dos and drawls off the court, but tigers on. We watch the athletes train, they talk about why they compete, family members and friends comment. One of the brothers undergoes cancer treatment. Then it's on to San Francisco to go for the gold.",English,Documentary
2094453,Madness of the Heart,"Lydia Garth meets Paul de Vandiere, a French nobleman, but their romance is plagued by Lydia's complaint of recurring spells of blurred vision. Paul leaves for France, promising to return and marry Lydia, but she loses her sight while he is gone. Given no hope of recovery, she enters a convent and quickly finds that she has no vocation for life in a nunnery. She finally marries Paul, but encounters strong opposition from Verite Faimont, a neighbor who is very fond of Paul. The latter constantly plots against Lydia and is successful in temporarily breaking up the marriage, but can a miracle of restored vision be seen?",English,Drama
2493025,Westender,"Set in a fictional medieval world, this is the story of Asbrey of Westender. Once a great heroic knight, he has mysteriously fallen from grace. One night he drunkenly bets and loses his ring, his last possession of worth. He then embarks on a mission to regain his ring and, in due course, confront the demons of his past.",English,Drama
1865410,Elon + Emmanuelle,"A playful, moving street art piece told through dance, based on the premise our environment is communicating with us at all times. Inspired by the work of street artist Banksy and featuring Montreal dance artists, Elon Hoglund & Emmanuelle Le Phan.",English,Fantasy
2014187,Kataude,"A man gets one arm of a woman who he fell in love, just one night. After that a man has a tragic nightmare because of one arm. The background of this story is 1960's in Japan. It was the last period that Japonism and specific moral had remained in ordinary people and their life after world war II.",Japanese,Fantasy
2160950,Not Yet,"Abby, played by Maddie Richhart, must decide whether she will leave her older brother, who took a job straight out of high school, and her younger brother. The siblings' mother, in order to make ends meet, is working long hours, leaving to Abby to care for the family.",English,Drama
2250072,Room 6,A young woman's world is turned upside down after a tragic accident steals away her boyfriend. The walls of reality continue to crumble as the troubled woman and a fellow victim try to track down their loved ones at a mysterious hospital which should not exist.,English,Horror
2132791,Mr. Playboy,"There are a few street interviews about Hugh Hefner, what people think about him; opinions. There is something about how Hugh Hefner associated with Marilyn Monroe and Hollywood sign. Interview at Playboy Mansion with Hugh Hefner: all about start, family, future, family values, personal experience, suggestions for young people and more. Few shots around mention (zoo, play house...)",English,Biography
1959478,Hot Times at Montclair High,"At Montclair High School, three different students bond with one another through a variety of comic, dramatic and episodic circumstances. Sean is a popular football jock who struggles to keep his grades up to stay on the school's team. Sean's girlfriend, Jenny, struggles with her outgoing friend Susan who hooks her up with a local rock band life of drugs and debauchery. Ziggy is a terminal nerd whom tries to find the right woman to be with despite his lack of social skills. Jason is a tough punk and resident bad boy who struggles to get by and takes out his aggression on others to get away from his abusive home life. Despite having nothing in common, Sean, Ziggy, and Jason's lives take a turn during a stay in detention which leads to them trying to help one other in their own life problems and learn that all of them have a lot more in common with one another than they knew.",English,Comedy
2107782,"Maurizio, Peppino e le indossatrici","Bice is a secretary, Antonella and Mara are models. The three of them are close friends and when they win a million in a lottery, they decide to go to a winter resort to find a rich husband. They steal the new fashions of the fashion house where all of them work and leave Rome. But they are followed by the nephew of the owner of the fashion house.",Italian,Comedy
1748380,Bruno aspetta in macchina,Margherita and Riccardo have been together for a long time and have grown tired of each other. Riccardo meets another girl and starts a relationship with her while Margherita happens to have a dummy in the front seat of her car which is mistaken for a lover of hers. She decides to exploit the situation.,Italian,Comedy
1964440,Hurenkarussell,"1905: Syphilis and prostitution flourish in a small town somewhere in the Danube monarchy. Though prostitution is officially prohibited, the panderers have found a way to bypass the law. Children run through the streets and do the pimping. In the midst of the night stands Marie, a young prostitute, who has learned how to live in this shady environment. She dwells together with Grete, her pregnant colleague, and some other whores at the brothel on the outskirts of town. Marie's encounters with johns have many faces; notorious bon vivants, an old man who brings cake from his wife, and Count Albin, a lofty gentleman whose behavior is very strange. Before Marie sleeps with him, she must tie a blue band with white dots around her thigh. The next day she encounters the Count shopping with his twelve year old daughter, Anna. It's apparent that Anna who wears a blue band with white dots in her hair is afraid of her father. Marie is deeply touched by Anna's emotional state which provokes her curiosity about the child. As she investigates Anna's situation Marie's humanity is revealed. It's ironic that a girl, Anna, of noble origins finds a motherly role model in Marie the prostitute. Because of this relationship the brothel is transformed into a nursery and Marie's bed becomes a safe haven from a pedophile father. Marie herself is also transformed into a loving, motherly individual.",German,Drama
1937970,Hard Scrambled,"Alice's Diner has been around for 25 years but is down on its luck and Alice wants to retire. Assorted ex-cons, dreamers and schemers call the place home. When Alice plunges into a boiling deep fat fryer, the men in her life fight for control of the diner. Crosses and double crosses ensue until the central question is answered, \What happened to Alice?\""""",English,Drama
1650353,A High School Love Story (Condensed),"A bullied boy is saved by a girl. The boy's dad (a priest) meets the girl's mother (a prostitute) in a motel room, they're caught in the act by the boy. Daddy hits the boy, the boy runs out in the parking lot and meets the girl. Together boy and girl take off into a forest, but when the girl finds her mother again something terrible has happened.",English,Animation
1987174,International Woodpecker,"Woody Woodpecker helps his nephews, Knothead and Splinter, in their studies of Woodpecker History, by telling them how he figured in the cave-man era, and Greece, and was responsible for making the Lean Tower of Pisa lean, and also for discovering America. They then take off for a picnic on the moon, via Woody's rocket-ship.",English,Animation
2273938,September Affair,"An industrialist (Joseph Cotton) and a pianist (Joan Fontaine) meet on a trip and fall in love. Through a quirk of fate, they are reported dead in a crash though they weren't on the plane. This gives them the opportunity to live together free from their previous lives. Unfortunately, this artificial arrangement leads to greater and greater stress. Eventually the situation collapses when they come to pursue their original, individual interests without choosing a common path.",English,Drama
2161097,Notes to You,"Without success, Porky Pig constantly tries to silence an alley cat who has been disturbing his slumber by constantly singing loudly.",English,Animation
2196805,Penny Wisdom,"The Smudge family cook quits suddenly. Later that day, Matthew Smudge informs his wife, Chloe, that he will be bringing home both his boss and an important client for dinner. Chloe is in a tizzy. The narrator saves the day by getting Prudence Penny, the home economist/newspaper columnist, to come to the Smudge Home and cook dinner.",English,Comedy
2373933,The Good Son,"Following his mother's death, Mark is sent to Maine to visit his aunt and uncle while his father goes on a business trip to Tokyo. Mark meets his cousin, Henry, and the two quickly form a friendship. However, Henry begins to show signs of violent behavior that worry Mark.",English,Drama
1642059,50 años en la luna,"Nazar knows everything about the moon, ever since the day he was born he has had an intimate relationship with it. He has compiled and researched all the information available about the moon and moon travel, he knows everything there is to know and even more. With pieces salvaged from junk-yards he manages to build up a lunar rocket and reaches for the moon. There, he will find out that even his craziest theories fall short to describe an atrocious reality that should not be disclosed to his human fellows.",Russian,Adventure
2472328,Vairi-Jatt,"Chaudhry Yashpal seduces Reshma and secretly marries her in a Mandir. He becomes intimate, and when she becomes pregnant refuses to have anything to do with her, and marries a wealthy woman. Years later, Yashpal is a widower and the father of two daughters, Nimmo and Nikki. He arranges both their marriages only to find out that Nimmo loves a man named Veera, and Nikki also has a boyfriend. He turns his wrath on Veer, who becomes an embittered bandit while Nimmo kills herself. Devastated but undeterred at these turn of events, he decides to go ahead and force Nikki to marry the man of his choice.",Punjabi,Action
2207650,Plus de vacances pour le Bon Dieu,"Montmartre in the summertime. A group of street urchins idles outside while the other kids of the neighborhood are away on holiday.To keep the gang busy, Pivolo, their leader, has an idea : they are going to kidnap Aunt Faguet's doggy. Just for the fun of it. A few days pass after the crime is accomplished and one of them suddenly realizes that a reward is being offered by the aunt to anyone who would bring her her pet back. Mademoiselle Hélène, the kind-hearted social worker, does it for them and gives them the reward money, which is instantly exchanged for lollipops, nougat and merry-go-round and cinema tickets. So, why not continue? That's what they do, abducting several dogs, until they realize they are becoming ... too rich! They can't buy themselves luxurious gifts or else their parents are bound to suspect something. Instead, they decide to do good by helping poor people around them. One day, Pierrot, a member of the gang, gets run down by a cyclist and becomes blind. Only a costly operation can heal him. Well, the solution is obvious : increase their illegal activities. But the police are beginning to smell a rat.",French,Comedy
2148864,Neighbors Across the Way,"A stained shirt causes a man to not shower causes yelling causes infuriated neighbors causes an argument. This brings a whole knew meaning to the phrase 'domino effect'. This story brings to screen some of the nuances of life that get overlooked and yet can cause not only a ripple effect, but also effect our relations with other people.",English,Comedy
2319843,Suhaag,"Durga and Vikram Singh have been married for years. Vikram has taken to crime in a big way, and as a result has antagonized a rival gangster, Jaggi. Durga gives birth to twins, and Jaggi steals one of them, and sells him to a bootlegger, Pascal. Durga is upset when she finds her son missing, but is devastated when Vikram abandons her. With a lot of difficulty, Durga brings up her son, Kishan, and has given up on finding her other son. Kishan has grown up and is now a dedicated police officer. On the other hand, Pascal has exploited Amit, kept him illiterate, doing petty crime, and alcoholic. This gets him in confrontation with Kishan, but ironically the two settle their differences and become fast friends. Vikram is still alive, and is not aware of his two sons and wife being alive. Without revealing his identity, he hires Amit to kill Kishan during a Navratri dance at Maa Sherawali's temple. Amit informs Kishan, and together with other police personnel, keep vigil. Things do not go as planned, they are attacked, and Kishan loses his eyesight, and may never get to see again, leaving the onus of Amit to try and locate the person(s) behind this crime.",Hindi,Action
1689957,Anniversary,"Mandy and Harry plan a romantic night at home to celebrate their anniversary. With red roses, chocolate cake, champagne and a steaming hot bath, the mood is just right for love. But despite their best efforts to create sensual magic, everything is about to go horribly wrong",English,Comedy
2321571,Sunset Babylon,"In this film-noir comedy-thriller, Private Dick Frank Diamond is hired by hotcha number Mona St Clair to find her brother Baby John, a beatnik bongo banger with a fondness for loco weed. Little do they know he's fallen in with former child stars the Babylon Sisters, a pair of bughouse broads with bats in the belfry and bodies in the cellar. Sunset Babylon is a crazy hepcat ride through the juke joints and lush dives of Old Hollywood-- booze, broads, and Ding Dong Daddies.",English,Comedy
2270204,Secret Nation,"A graduate history student returns to her native Newfoundland, searching for proof of a conspiracy surrounding the referendum that saw Newfoundland join Canada.",English,Drama
2459600,Ultimo tango a Zagarol,"A woman feeds her husband with scraps and gives the best food to her lover, whom she hides in the attic. The husband abandons her and goes and lives with a young girl who drags him into a sadomasochistic relationship.",Italian,Comedy
2498147,White Men,"MANENO is looking for a cure for his wounds. SAMSON works as gardener in the town aqueduct. ALFRED is following the case of a man who has been mutilated in an aggression. Mr white is working at his next concert. These men live near Lake Victoria, an area abundant with stories of sudden richness and miraculous potions, or empty graves and immortality. It is in this region that white men, albinos like the four main characters, are often hunted to become tools of witchcraft.",Swahili,Documentary
1833733,Diorama,"Eleven year-old Izzy and her mom Caroline live a modest existence as Caroline struggles to get by as a musician, playing gigs and waiting for a breakthrough. For weeks Izzy has been asking Caroline for the ten dollars she needs to go on a science class field trip to a wild animal exhibit, but when Caroline gets fired from her last regular gig and can't come up with the money, Izzy is left to figure out how to get into the museum on her own. This short won several international awards at film festivals and competitions, and features the remarkable debut of Frances Distefano.",English,Drama
